Company,Instrument,Credit Rating,1Y Range,% Assets
9.1% Shriram Transport Finance 2021,Debenture,AA+,3.06 - 13.14,3.76
8.05% Sundaram Finance 2022,Debenture,AAA,0.00 - 2.83,2.83
319. BNP Paribas Flexi Debt Fund
7.57% GOI 2033,GOI Securities,SOV,0.00 - 20.97,20.97
7.26% GOI 2029,GOI Securities,SOV,0.00 - 25.95,8.65
7.6% Grasim Industries 2024,Non Convertible Debenture,AAA,0.00 - 8.06,8.06
7.69% GOI 2043,Central Government Loan,SOV,0.00 - 7.09,7.05
7.62% GOI 2039,GOI Securities,SOV,0.00 - 6.98,6.98
8.15% National Bank Agr. Rur. Devp 2029,Non Convertible Debenture,AAA,0.00 - 6.94,6.92
Reserve Bank of India 364-D 11/06/2020,Treasury Bills,SOV,0.00 - 6.42,6.42
8.35% IRFC 2029,Debenture,AAA,0.00 - 6.32,6.27
8.75% Muthoot Finance 2020,Debenture,AA,4.58 - 5.39,5.30
8.7% REC 2028,Zero Coupon Bonds,AAA,0.00 - 3.58,3.56
7.49% Nat. Highways Authority 2029,Debenture,AAA,0.00 - 3.29,3.27
8.75% Muthoot Finance 2021,Bonds/NCDs,AA,2.53 - 3.24,3.24
HPCL 2024,Debenture,AAA,0.00 - 2.32,2.32
7.16% GOI 2023,Central Government Loan,SOV,0.49 - 0.65,0.65
9.13% Gujarat State 2022,State Development Loan,SOV,0.52 - 2.50,0.56
9.13% Air India Ltd. 2020,Debenture,AAA,0.32 - 0.40,0.40
8.33% GOI 2026,Central Government Loan,SOV,0.22 - 0.29,0.29
9.71% Haryana State 2024,State Development Loan,SOV,0.18 - 0.24,0.24
7.73% GOI 2034,GOI Securities,SOV,0.15 - 0.21,0.21
8.39% Andhra Pradesh State 2028,State Development Loan,SOV,0.15 - 0.20,0.20
8.24% GOI 2027,Central Government Loan,SOV,0.12 - 0.16,0.16
8.13% GOI 2045,GOI Securities,SOV,0.06 - 0.08,0.08
8.26% Maharashtra State 2029,State Development Loan,SOV,0.00 - 0.00,0.00
7.64% Haryana State 2027,State Development Loan,SOV,0.00 - 0.00,0.00
320. BNP Paribas Flexi Debt Fund - Direct Plan
7.57% GOI 2033,GOI Securities,SOV,0.00 - 20.97,20.97
7.26% GOI 2029,GOI Securities,SOV,0.00 - 25.95,8.65
7.6% Grasim Industries 2024,Non Convertible Debenture,AAA,0.00 - 8.06,8.06
7.69% GOI 2043,Central Government Loan,SOV,0.00 - 7.09,7.05
7.62% GOI 2039,GOI Securities,SOV,0.00 - 6.98,6.98
8.15% National Bank Agr. Rur. Devp 2029,Non Convertible Debenture,AAA,0.00 - 6.94,6.92
Reserve Bank of India 364-D 11/06/2020,Treasury Bills,SOV,0.00 - 6.42,6.42
8.35% IRFC 2029,Debenture,AAA,0.00 - 6.32,6.27
8.75% Muthoot Finance 2020,Debenture,AA,4.58 - 5.39,5.30
8.7% REC 2028,Zero Coupon Bonds,AAA,0.00 - 3.58,3.56
7.49% Nat. Highways Authority 2029,Debenture,AAA,0.00 - 3.29,3.27
8.75% Muthoot Finance 2021,Bonds/NCDs,AA,2.53 - 3.24,3.24
HPCL 2024,Debenture,AAA,0.00 - 2.32,2.32
7.16% GOI 2023,Central Government Loan,SOV,0.49 - 0.65,0.65
9.13% Gujarat State 2022,State Development Loan,SOV,0.52 - 2.50,0.56
9.13% Air India Ltd. 2020,Debenture,AAA,0.32 - 0.40,0.40
8.33% GOI 2026,Central Government Loan,SOV,0.22 - 0.29,0.29
9.71% Haryana State 2024,State Development Loan,SOV,0.18 - 0.24,0.24
7.73% GOI 2034,GOI Securities,SOV,0.15 - 0.21,0.21
8.39% Andhra Pradesh State 2028,State Development Loan,SOV,0.15 - 0.20,0.20
8.24% GOI 2027,Central Government Loan,SOV,0.12 - 0.16,0.16
8.13% GOI 2045,GOI Securities,SOV,0.06 - 0.08,0.08
8.26% Maharashtra State 2029,State Development Loan,SOV,0.00 - 0.00,0.00
7.64% Haryana State 2027,State Development Loan,SOV,0.00 - 0.00,0.00
321. BNP Paribas Flexi Debt Fund - Regular Plan A
7.57% GOI 2033,GOI Securities,SOV,0.00 - 20.97,20.97
7.26% GOI 2029,GOI Securities,SOV,0.00 - 25.95,8.65
7.6% Grasim Industries 2024,Non Convertible Debenture,AAA,0.00 - 8.06,8.06
7.69% GOI 2043,Central Government Loan,SOV,0.00 - 7.09,7.05
7.62% GOI 2039,GOI Securities,SOV,0.00 - 6.98,6.98
8.15% National Bank Agr. Rur. Devp 2029,Non Convertible Debenture,AAA,0.00 - 6.94,6.92
Reserve Bank of India 364-D 11/06/2020,Treasury Bills,SOV,0.00 - 6.42,6.42
8.35% IRFC 2029,Debenture,AAA,0.00 - 6.32,6.27
8.75% Muthoot Finance 2020,Debenture,AA,4.58 - 5.39,5.30
8.7% REC 2028,Zero Coupon Bonds,AAA,0.00 - 3.58,3.56
7.49% Nat. Highways Authority 2029,Debenture,AAA,0.00 - 3.29,3.27
8.75% Muthoot Finance 2021,Bonds/NCDs,AA,2.53 - 3.24,3.24
HPCL 2024,Debenture,AAA,0.00 - 2.32,2.32
7.16% GOI 2023,Central Government Loan,SOV,0.49 - 0.65,0.65
9.13% Gujarat State 2022,State Development Loan,SOV,0.52 - 2.50,0.56
9.13% Air India Ltd. 2020,Debenture,AAA,0.32 - 0.40,0.40
8.33% GOI 2026,Central Government Loan,SOV,0.22 - 0.29,0.29
9.71% Haryana State 2024,State Development Loan,SOV,0.18 - 0.24,0.24
7.73% GOI 2034,GOI Securities,SOV,0.15 - 0.21,0.21
8.39% Andhra Pradesh State 2028,State Development Loan,SOV,0.15 - 0.20,0.20
8.24% GOI 2027,Central Government Loan,SOV,0.12 - 0.16,0.16
8.13% GOI 2045,GOI Securities,SOV,0.06 - 0.08,0.08
8.26% Maharashtra State 2029,State Development Loan,SOV,0.00 - 0.00,0.00
7.64% Haryana State 2027,State Development Loan,SOV,0.00 - 0.00,0.00
322. BNP Paribas Liquid Fund
HDFC Bank 91-D,Fixed Deposits,-,0.00 - 5.42,5.42
Axis Bank 2019,Certificate of Deposit,A1+,0.00 - 5.39,5.39
Bank of Baroda 2019,Certificate of Deposit,A1+,0.00 - 5.38,5.38
Indusind Bank 2019,Certificate of Deposit,A1+,0.00 - 5.34,5.34
9.22% LIC Housing Fin. 2019,Debenture,AAA,0.00 - 4.89,4.89
Reserve Bank of India 91-D 21/11/2019,Treasury Bills,SOV,0.00 - 3.17,3.17
Axis Bank 91-D,Fixed Deposits,-,0.00 - 2.71,2.71
ICICI Bank 91-D,Fixed Deposits,-,0.00 - 2.71,2.71
Hinduja Leyland Finance 90-D 16/10/2019,Commercial Paper,A1+,0.00 - 2.70,2.70
Reliance Retail Ltd. 88-D 18/10/2019,Commercial Paper,A1+,0.00 - 2.70,2.70
The Ramco Cements 59-D 18/10/2019,Commercial Paper,A1+,0.00 - 2.70,2.70
HDFC 170-D 06/11/2019,Commercial Paper,A1+,0.00 - 2.69,2.69
Manappuram Finance 91-D 29/10/2019,Commercial Paper,A1+,0.00 - 2.69,2.69
Redington India 57-D 31/10/2019,Commercial Paper,A1+,0.00 - 2.69,2.69
Muthoot Finance 365-D 31/10/2019,Commercial Paper,A1+,0.00 - 2.69,2.69
Axis Finance 90-D 31/10/2019,Commercial Paper,A1+,0.00 - 2.69,2.69
ICICI Bank 2019,Certificate of Deposit,A1+,0.00 - 2.69,2.69
Ujjivan Small Finance Bank 2019,Certificate of Deposit,A1+,0.00 - 2.68,2.68
Indian Oil Corp. 74-D 09/12/2019,Commercial Paper,A1+,0.00 - 2.68,2.68
Tata Capital Financial Services 365-D 06/12/2019,Commercial Paper,A1+,0.00 - 2.68,2.68
TVS Credit Services 91-D 13/11/2019,Commercial Paper,A1+,0.00 - 2.68,2.68
HDFC 363-D 26/11/2019,Commercial Paper,A1+,0.00 - 2.68,2.68
ICICI Securities 62-D 28/11/2019,Commercial Paper,A1+,0.00 - 2.41,2.41
Siyaram Silk Mills 90-D 18/12/2019,Commercial Paper,A1+,0.00 - 2.13,2.13
Reserve Bank of India 364-D 08/11/2019,Treasury Bills,SOV,0.00 - 1.35,1.35
323. BNP Paribas Liquid Fund - Direct Plan
HDFC Bank 91-D,Fixed Deposits,-,0.00 - 5.42,5.42
Axis Bank 2019,Certificate of Deposit,A1+,0.00 - 5.39,5.39
Bank of Baroda 2019,Certificate of Deposit,A1+,0.00 - 5.38,5.38
Indusind Bank 2019,Certificate of Deposit,A1+,0.00 - 5.34,5.34
9.22% LIC Housing Fin. 2019,Debenture,AAA,0.00 - 4.89,4.89
Reserve Bank of India 91-D 21/11/2019,Treasury Bills,SOV,0.00 - 3.17,3.17
Axis Bank 91-D,Fixed Deposits,-,0.00 - 2.71,2.71
ICICI Bank 91-D,Fixed Deposits,-,0.00 - 2.71,2.71
Hinduja Leyland Finance 90-D 16/10/2019,Commercial Paper,A1+,0.00 - 2.70,2.70
Reliance Retail Ltd. 88-D 18/10/2019,Commercial Paper,A1+,0.00 - 2.70,2.70
The Ramco Cements 59-D 18/10/2019,Commercial Paper,A1+,0.00 - 2.70,2.70
HDFC 170-D 06/11/2019,Commercial Paper,A1+,0.00 - 2.69,2.69
Manappuram Finance 91-D 29/10/2019,Commercial Paper,A1+,0.00 - 2.69,2.69
Redington India 57-D 31/10/2019,Commercial Paper,A1+,0.00 - 2.69,2.69
Muthoot Finance 365-D 31/10/2019,Commercial Paper,A1+,0.00 - 2.69,2.69
Axis Finance 90-D 31/10/2019,Commercial Paper,A1+,0.00 - 2.69,2.69
ICICI Bank 2019,Certificate of Deposit,A1+,0.00 - 2.69,2.69
Ujjivan Small Finance Bank 2019,Certificate of Deposit,A1+,0.00 - 2.68,2.68
Indian Oil Corp. 74-D 09/12/2019,Commercial Paper,A1+,0.00 - 2.68,2.68
Tata Capital Financial Services 365-D 06/12/2019,Commercial Paper,A1+,0.00 - 2.68,2.68
TVS Credit Services 91-D 13/11/2019,Commercial Paper,A1+,0.00 - 2.68,2.68
HDFC 363-D 26/11/2019,Commercial Paper,A1+,0.00 - 2.68,2.68
ICICI Securities 62-D 28/11/2019,Commercial Paper,A1+,0.00 - 2.41,2.41
Siyaram Silk Mills 90-D 18/12/2019,Commercial Paper,A1+,0.00 - 2.13,2.13
Reserve Bank of India 364-D 08/11/2019,Treasury Bills,SOV,0.00 - 1.35,1.35
324. BNP Paribas Liquid Fund - Regular Plan
HDFC Bank 91-D,Fixed Deposits,-,0.00 - 5.42,5.42
Axis Bank 2019,Certificate of Deposit,A1+,0.00 - 5.39,5.39
Bank of Baroda 2019,Certificate of Deposit,A1+,0.00 - 5.38,5.38
Indusind Bank 2019,Certificate of Deposit,A1+,0.00 - 5.34,5.34
9.22% LIC Housing Fin. 2019,Debenture,AAA,0.00 - 4.89,4.89
Reserve Bank of India 91-D 21/11/2019,Treasury Bills,SOV,0.00 - 3.17,3.17
Axis Bank 91-D,Fixed Deposits,-,0.00 - 2.71,2.71
ICICI Bank 91-D,Fixed Deposits,-,0.00 - 2.71,2.71
Hinduja Leyland Finance 90-D 16/10/2019,Commercial Paper,A1+,0.00 - 2.70,2.70
Reliance Retail Ltd. 88-D 18/10/2019,Commercial Paper,A1+,0.00 - 2.70,2.70
The Ramco Cements 59-D 18/10/2019,Commercial Paper,A1+,0.00 - 2.70,2.70
HDFC 170-D 06/11/2019,Commercial Paper,A1+,0.00 - 2.69,2.69
Manappuram Finance 91-D 29/10/2019,Commercial Paper,A1+,0.00 - 2.69,2.69
Redington India 57-D 31/10/2019,Commercial Paper,A1+,0.00 - 2.69,2.69
Muthoot Finance 365-D 31/10/2019,Commercial Paper,A1+,0.00 - 2.69,2.69
Axis Finance 90-D 31/10/2019,Commercial Paper,A1+,0.00 - 2.69,2.69
ICICI Bank 2019,Certificate of Deposit,A1+,0.00 - 2.69,2.69
Ujjivan Small Finance Bank 2019,Certificate of Deposit,A1+,0.00 - 2.68,2.68
Indian Oil Corp. 74-D 09/12/2019,Commercial Paper,A1+,0.00 - 2.68,2.68
Tata Capital Financial Services 365-D 06/12/2019,Commercial Paper,A1+,0.00 - 2.68,2.68
TVS Credit Services 91-D 13/11/2019,Commercial Paper,A1+,0.00 - 2.68,2.68
HDFC 363-D 26/11/2019,Commercial Paper,A1+,0.00 - 2.68,2.68
ICICI Securities 62-D 28/11/2019,Commercial Paper,A1+,0.00 - 2.41,2.41
Siyaram Silk Mills 90-D 18/12/2019,Commercial Paper,A1+,0.00 - 2.13,2.13
Reserve Bank of India 364-D 08/11/2019,Treasury Bills,SOV,0.00 - 1.35,1.35
325. BNP Paribas Liquid Fund - Unclaimed Plan
HDFC Bank 91-D,Fixed Deposits,-,0.00 - 5.42,5.42
Axis Bank 2019,Certificate of Deposit,A1+,0.00 - 5.39,5.39
Bank of Baroda 2019,Certificate of Deposit,A1+,0.00 - 5.38,5.38
Indusind Bank 2019,Certificate of Deposit,A1+,0.00 - 5.34,5.34
9.22% LIC Housing Fin. 2019,Debenture,AAA,0.00 - 4.89,4.89
Reserve Bank of India 91-D 21/11/2019,Treasury Bills,SOV,0.00 - 3.17,3.17
Axis Bank 91-D,Fixed Deposits,-,0.00 - 2.71,2.71
ICICI Bank 91-D,Fixed Deposits,-,0.00 - 2.71,2.71
Hinduja Leyland Finance 90-D 16/10/2019,Commercial Paper,A1+,0.00 - 2.70,2.70
Reliance Retail Ltd. 88-D 18/10/2019,Commercial Paper,A1+,0.00 - 2.70,2.70
The Ramco Cements 59-D 18/10/2019,Commercial Paper,A1+,0.00 - 2.70,2.70
HDFC 170-D 06/11/2019,Commercial Paper,A1+,0.00 - 2.69,2.69
Manappuram Finance 91-D 29/10/2019,Commercial Paper,A1+,0.00 - 2.69,2.69
Redington India 57-D 31/10/2019,Commercial Paper,A1+,0.00 - 2.69,2.69
Muthoot Finance 365-D 31/10/2019,Commercial Paper,A1+,0.00 - 2.69,2.69
Axis Finance 90-D 31/10/2019,Commercial Paper,A1+,0.00 - 2.69,2.69
ICICI Bank 2019,Certificate of Deposit,A1+,0.00 - 2.69,2.69
Ujjivan Small Finance Bank 2019,Certificate of Deposit,A1+,0.00 - 2.68,2.68
Indian Oil Corp. 74-D 09/12/2019,Commercial Paper,A1+,0.00 - 2.68,2.68
Tata Capital Financial Services 365-D 06/12/2019,Commercial Paper,A1+,0.00 - 2.68,2.68
TVS Credit Services 91-D 13/11/2019,Commercial Paper,A1+,0.00 - 2.68,2.68
HDFC 363-D 26/11/2019,Commercial Paper,A1+,0.00 - 2.68,2.68
ICICI Securities 62-D 28/11/2019,Commercial Paper,A1+,0.00 - 2.41,2.41
Siyaram Silk Mills 90-D 18/12/2019,Commercial Paper,A1+,0.00 - 2.13,2.13
Reserve Bank of India 364-D 08/11/2019,Treasury Bills,SOV,0.00 - 1.35,1.35
326. BNP Paribas Low Duration Fund
HDFC 337-D 26/05/2020,Commercial Paper,A1+,0.00 - 12.18,11.22
6.78% Reliance Industries 2020,Non Convertible Debenture,AAA,0.00 - 10.27,9.34
Bank of Baroda 2020,Certificate of Deposit,A1+,0.00 - 12.23,8.98
SIDBI 2020,Certificate of Deposit,A1+,0.00 - 8.94,8.94
Axis Bank 2020,Certificate of Deposit,A1+,0.00 - 8.86,8.86
HDFC Bank 2020,Certificate of Deposit,A1+,0.00 - 8.25,7.57
8.15% REC 2021,Bonds/Debentures,AAA,0.00 - 7.80,7.10
8.25% ICICI Home Finance Company 2021,Debenture,AAA,0.00 - 7.71,7.01
ICICI Bank 2020,Certificate of Deposit,A1+,0.00 - 6.85,6.85
Bajaj Finance 366-D 24/06/2020,Commercial Paper,A1+,0.00 - 6.68,6.68
8.05% Sundaram Finance 2022,Debenture,AAA,0.00 - 6.13,6.13
8.39% National Bank Agr. Rur. Devp 19-D 19/07/2021,Debenture,AAA,0.00 - 5.27,4.78
8.02% Larsen & Toubro 2022,Non Convertible Debenture,AAA,0.00 - 1.57,1.43
327. BNP Paribas Low Duration Fund - Direct Plan
HDFC 337-D 26/05/2020,Commercial Paper,A1+,0.00 - 12.18,11.22
6.78% Reliance Industries 2020,Non Convertible Debenture,AAA,0.00 - 10.27,9.34
Bank of Baroda 2020,Certificate of Deposit,A1+,0.00 - 12.23,8.98
SIDBI 2020,Certificate of Deposit,A1+,0.00 - 8.94,8.94
Axis Bank 2020,Certificate of Deposit,A1+,0.00 - 8.86,8.86
HDFC Bank 2020,Certificate of Deposit,A1+,0.00 - 8.25,7.57
8.15% REC 2021,Bonds/Debentures,AAA,0.00 - 7.80,7.10
8.25% ICICI Home Finance Company 2021,Debenture,AAA,0.00 - 7.71,7.01
ICICI Bank 2020,Certificate of Deposit,A1+,0.00 - 6.85,6.85
Bajaj Finance 366-D 24/06/2020,Commercial Paper,A1+,0.00 - 6.68,6.68
8.05% Sundaram Finance 2022,Debenture,AAA,0.00 - 6.13,6.13
8.39% National Bank Agr. Rur. Devp 19-D 19/07/2021,Debenture,AAA,0.00 - 5.27,4.78
8.02% Larsen & Toubro 2022,Non Convertible Debenture,AAA,0.00 - 1.57,1.43
328. BNP Paribas Low Duration Fund - Regular Plan
HDFC 337-D 26/05/2020,Commercial Paper,A1+,0.00 - 12.18,11.22
6.78% Reliance Industries 2020,Non Convertible Debenture,AAA,0.00 - 10.27,9.34
Bank of Baroda 2020,Certificate of Deposit,A1+,0.00 - 12.23,8.98
SIDBI 2020,Certificate of Deposit,A1+,0.00 - 8.94,8.94
Axis Bank 2020,Certificate of Deposit,A1+,0.00 - 8.86,8.86
HDFC Bank 2020,Certificate of Deposit,A1+,0.00 - 8.25,7.57
8.15% REC 2021,Bonds/Debentures,AAA,0.00 - 7.80,7.10
8.25% ICICI Home Finance Company 2021,Debenture,AAA,0.00 - 7.71,7.01
ICICI Bank 2020,Certificate of Deposit,A1+,0.00 - 6.85,6.85
Bajaj Finance 366-D 24/06/2020,Commercial Paper,A1+,0.00 - 6.68,6.68
8.05% Sundaram Finance 2022,Debenture,AAA,0.00 - 6.13,6.13
8.39% National Bank Agr. Rur. Devp 19-D 19/07/2021,Debenture,AAA,0.00 - 5.27,4.78
8.02% Larsen & Toubro 2022,Non Convertible Debenture,AAA,0.00 - 1.57,1.43
329. BNP Paribas Medium Term Fund
8.75% Muthoot Finance 2020,Debenture,AA,7.34 - 12.02,12.02
8.35% IRFC 2029,Debenture,AAA,0.00 - 9.20,9.20
8.4% Sundaram Bnp Paribas Home Finance 2022,Non Convertible Debenture,AA+,0.00 - 8.82,8.82
7.26% GOI 2029,GOI Securities,SOV,0.00 - 15.12,8.56
8.7% REC 2028,Zero Coupon Bonds,AAA,0.00 - 5.86,5.86
8.59% Andhra Pradesh State 2023,State Development Loan,SOV,0.00 - 5.79,5.79
8.27% Nat. Highways Authority 2029,Debenture,AAA,0.00 - 8.42,5.67
7.49% Nat. Highways Authority 2029,Debenture,AAA,0.00 - 5.39,5.39
8.7% LIC Housing Fin. 2029,Debenture,AAA,0.00 - 4.02,3.44
7.15% Ultratech Cement 2021,Debenture,AAA,0.40 - 10.05,3.29
8.13% Power Grid Corporation 2023,Debenture,AAA,0.00 - 2.84,2.84
8.02% BPCL 2024,Debenture,AAA,0.00 - 8.50,2.27
7.85% National Bank Agr. Rur. Devp 2022,Non Convertible Debenture,AAA,0.00 - 1.68,1.68
Shriram City Union Finance 2022,Zero Coupon Bonds,AA+,0.14 - 5.12,0.23
330. BNP Paribas Medium Term Fund - Direct Plan
8.75% Muthoot Finance 2020,Debenture,AA,7.34 - 12.02,12.02
8.35% IRFC 2029,Debenture,AAA,0.00 - 9.20,9.20
8.4% Sundaram Bnp Paribas Home Finance 2022,Non Convertible Debenture,AA+,0.00 - 8.82,8.82
7.26% GOI 2029,GOI Securities,SOV,0.00 - 15.12,8.56
8.7% REC 2028,Zero Coupon Bonds,AAA,0.00 - 5.86,5.86
8.59% Andhra Pradesh State 2023,State Development Loan,SOV,0.00 - 5.79,5.79
8.27% Nat. Highways Authority 2029,Debenture,AAA,0.00 - 8.42,5.67
7.49% Nat. Highways Authority 2029,Debenture,AAA,0.00 - 5.39,5.39
8.7% LIC Housing Fin. 2029,Debenture,AAA,0.00 - 4.02,3.44
7.15% Ultratech Cement 2021,Debenture,AAA,0.40 - 10.05,3.29
8.13% Power Grid Corporation 2023,Debenture,AAA,0.00 - 2.84,2.84
8.02% BPCL 2024,Debenture,AAA,0.00 - 8.50,2.27
7.85% National Bank Agr. Rur. Devp 2022,Non Convertible Debenture,AAA,0.00 - 1.68,1.68
Shriram City Union Finance 2022,Zero Coupon Bonds,AA+,0.14 - 5.12,0.23
331. BNP Paribas Short Term Fund
7.17% Reliance Industries 2022,Non Convertible Debenture,AAA,0.00 - 12.36,9.98
8.02% Larsen & Toubro 2022,Non Convertible Debenture,AAA,0.00 - 10.16,9.43
8.5% National Bank Agr. Rur. Devp,Debenture,AAA,0.00 - 8.01,8.01
7.4% HDFC 2020,Non Convertible Debenture,AAA,0.00 - 7.74,7.74
7.7% Bajaj Finance 2022,Debenture,AAA,0.00 - 7.74,7.74
7.78% LIC Housing Fin. 2024,Debenture,AAA,0.00 - 7.73,7.73
8.02% BPCL 2024,Debenture,AAA,0.00 - 9.77,6.38
7.6% Grasim Industries 2024,Non Convertible Debenture,AAA,0.00 - 6.71,6.23
8.71% Tata Capital Financial Services 2022,Debenture,AAA,0.00 - 5.87,5.46
8.4% SIDBI 2021,Debenture,AAA,0.00 - 4.26,3.96
8.15% REC 2021,Bonds/Debentures,AAA,0.00 - 4.20,3.90
8.75% Muthoot Finance 2021,Bonds/NCDs,AA,2.10 - 3.88,2.85
7.85% National Bank Agr. Rur. Devp 2022,Non Convertible Debenture,AAA,0.00 - 9.72,1.18
HPCL 2024,Debenture,AAA,0.00 - 1.15,1.15
332. BNP Paribas Short Term Fund - Direct Plan
7.17% Reliance Industries 2022,Non Convertible Debenture,AAA,0.00 - 12.36,9.98
8.02% Larsen & Toubro 2022,Non Convertible Debenture,AAA,0.00 - 10.16,9.43
8.5% National Bank Agr. Rur. Devp,Debenture,AAA,0.00 - 8.01,8.01
7.4% HDFC 2020,Non Convertible Debenture,AAA,0.00 - 7.74,7.74
7.7% Bajaj Finance 2022,Debenture,AAA,0.00 - 7.74,7.74
7.78% LIC Housing Fin. 2024,Debenture,AAA,0.00 - 7.73,7.73
8.02% BPCL 2024,Debenture,AAA,0.00 - 9.77,6.38
7.6% Grasim Industries 2024,Non Convertible Debenture,AAA,0.00 - 6.71,6.23
8.71% Tata Capital Financial Services 2022,Debenture,AAA,0.00 - 5.87,5.46
8.4% SIDBI 2021,Debenture,AAA,0.00 - 4.26,3.96
8.15% REC 2021,Bonds/Debentures,AAA,0.00 - 4.20,3.90
8.75% Muthoot Finance 2021,Bonds/NCDs,AA,2.10 - 3.88,2.85
7.85% National Bank Agr. Rur. Devp 2022,Non Convertible Debenture,AAA,0.00 - 9.72,1.18
HPCL 2024,Debenture,AAA,0.00 - 1.15,1.15
333. BNP Paribas Short Term Fund - Regular Plan
7.17% Reliance Industries 2022,Non Convertible Debenture,AAA,0.00 - 12.36,9.98
8.02% Larsen & Toubro 2022,Non Convertible Debenture,AAA,0.00 - 10.16,9.43
8.5% National Bank Agr. Rur. Devp,Debenture,AAA,0.00 - 8.01,8.01
7.4% HDFC 2020,Non Convertible Debenture,AAA,0.00 - 7.74,7.74
7.7% Bajaj Finance 2022,Debenture,AAA,0.00 - 7.74,7.74
7.78% LIC Housing Fin. 2024,Debenture,AAA,0.00 - 7.73,7.73
8.02% BPCL 2024,Debenture,AAA,0.00 - 9.77,6.38
7.6% Grasim Industries 2024,Non Convertible Debenture,AAA,0.00 - 6.71,6.23
8.71% Tata Capital Financial Services 2022,Debenture,AAA,0.00 - 5.87,5.46
8.4% SIDBI 2021,Debenture,AAA,0.00 - 4.26,3.96
8.15% REC 2021,Bonds/Debentures,AAA,0.00 - 4.20,3.90
8.75% Muthoot Finance 2021,Bonds/NCDs,AA,2.10 - 3.88,2.85
7.85% National Bank Agr. Rur. Devp 2022,Non Convertible Debenture,AAA,0.00 - 9.72,1.18
HPCL 2024,Debenture,AAA,0.00 - 1.15,1.15
339. BOI AXA Credit Risk Fund - Regular Plan
DRSR Logistics 2022,Debenture,Unrated,5.96 - 39.10,39.10
Amanta Healthcare 2024,Debenture,Unrated,0.57 - 24.61,27.75
RKV Enterprise 2020,Debenture,Unrated,4.29 - 17.20,17.20
Dinram Holdings 2022,Debenture,Unrated,0.33 - 2.15,2.15
14% Accelarating Education and Development 2023,Debenture,A-,0.00 - 2.03,2.03
5% Accelarating Education and Development 2023,Debenture,A-,0.00 - 1.98,1.98
10.7% Dewan Housing Fin. Corpn. 2021,Debenture,D,0.00 - 1.39,1.39
6% Coffee Day Natural Resources 2019,Debenture,D,0.00 - 0.10,0.10
Kwality Ltd. 2022,Debenture,D,0.00 - 4.41,0.00
Sintex-BAPL 2020,Debenture,D,0.00 - 0.00,0.00
Sintex-BAPL 2021,Debenture,D,0.00 - 0.00,0.00
Sintex-BAPL 2022,Debenture,D,0.00 - 0.00,0.00
Sintex-BAPL 2027,Debenture,D,0.00 - 0.00,0.00
340. BOI AXA Credit Riskm Fund - Direct Plan
DRSR Logistics 2022,Debenture,Unrated,5.96 - 39.10,39.10
Amanta Healthcare 2024,Debenture,Unrated,0.57 - 24.61,27.75
RKV Enterprise 2020,Debenture,Unrated,4.29 - 17.20,17.20
Dinram Holdings 2022,Debenture,Unrated,0.33 - 2.15,2.15
14% Accelarating Education and Development 2023,Debenture,A-,0.00 - 2.03,2.03
5% Accelarating Education and Development 2023,Debenture,A-,0.00 - 1.98,1.98
10.7% Dewan Housing Fin. Corpn. 2021,Debenture,D,0.00 - 1.39,1.39
6% Coffee Day Natural Resources 2019,Debenture,D,0.00 - 0.10,0.10
Kwality Ltd. 2022,Debenture,D,0.00 - 4.41,0.00
Sintex-BAPL 2020,Debenture,D,0.00 - 0.00,0.00
Sintex-BAPL 2021,Debenture,D,0.00 - 0.00,0.00
Sintex-BAPL 2022,Debenture,D,0.00 - 0.00,0.00
Sintex-BAPL 2027,Debenture,D,0.00 - 0.00,0.00
343. BOI AXA Liquid - Unclaimed
LIC Housing Fin. 85-D 23/10/2019,Commercial Paper,A1+,0.00 - 10.26,10.26
Reserve Bank of India 91-D 28/11/2019,Treasury Bills,SOV,0.00 - 10.21,10.21
Power Grid Corporation 89-D 15/10/2019,Commercial Paper,A1+,0.00 - 5.14,5.14
Tata Capital Financial Services 61-D 21/10/2019,Commercial Paper,A1+,0.00 - 5.13,5.13
ICICI Securities 57-D 25/10/2019,Commercial Paper,A1+,0.00 - 5.13,5.13
Reserve Bank of India 182-D 17/10/2019,Treasury Bills,SOV,0.00 - 15.91,5.13
Kotak Mahindra Bank 2019,Certificate of Deposit,A1+,0.00 - 8.21,5.11
Bank of Baroda 2019,Certificate of Deposit,A1+,0.00 - 5.11,5.11
Axis Bank 2019,Certificate of Deposit,A1+,0.00 - 5.10,5.10
SIDBI 2019,Certificate of Deposit,A1+,0.00 - 5.10,5.10
National Bank Agr. Rur. Devp 2019,Commercial Paper,A1+,0.00 - 5.09,5.09
Reserve Bank of India 182-D 19/12/2019,Treasury Bills,SOV,0.00 - 5.09,5.09
Bajaj Finance 91-D 16/12/2019,Commercial Paper,A1+,0.00 - 5.09,5.09
HDFC 329-D 13/12/2019,Commercial Paper,A1+,0.00 - 5.09,5.09
6.05% HDFC Bank 2019,Fixed Deposits,-,0.00 - 4.12,4.12
6.2% Axis Bank 2019,Fixed Deposits,-,0.00 - 4.12,4.12
Kotak Mahindra Bank 2019,Certificate of Deposit,A1+,0.00 - 4.08,4.08
344. BOI AXA Liquid Fund - Direct Plan
LIC Housing Fin. 85-D 23/10/2019,Commercial Paper,A1+,0.00 - 10.26,10.26
